# Name,Power,Type,Accuracy,EffectId,EffectChance,EffectTurns,Description
Petal Tap,18,Fairy,1,NONE,0,0,"A soft petal cuff."
Bloom Dash,24,Fairy,0.95,glow,0.35,3,"Dashes in a petal swirl."
Sakura Veil,12,Fairy,1,ward,1,3,"Raises a shimmering ward."
Dew Slap,18,Water,1,NONE,0,0,"A damp whisker slap."
Lily Splash,24,Water,0.95,wet,0.4,3,"Soaks the foe in pondwater."
Purr Tide,14,Water,1,sleep,0.25,2,"A lulling tide that may sleep."
Leaf Nibble,16,Grass,1,NONE,0,0,"A gentle leafy bite."
Fern Whip,22,Grass,0.95,thorns,0.35,3,"Whips with curling fronds."
Sprout Guard,10,Grass,1,ward,1,3,"Roots into a sturdy ward."
Pollen Zap,20,Electric,0.95,pollen,0.4,3,"Sparks through pollen dust."
Static Flutter,26,Electric,0.9,glow,0.3,3,"A buzzing wing dash."
Glow Dust,12,Electric,1,focus,0.8,3,"Bright dust that sharpens focus."
Pebble Toss,18,Rock,0.95,NONE,0,0,"Lobs a mossy pebble."
Rose Crush,26,Rock,0.9,thorns,0.3,3,"Crushes with vine-wrapped stone."
Moss Armor,8,Rock,1,ward,1,4,"Hardens moss into a ward."
Veil Touch,18,Ghost,1,NONE,0,0,"A chilling silk brush."
Phantom Gust,25,Ghost,0.95,sleep,0.3,2,"A foggy gust that may sleep."
Mist Cloak,10,Ghost,1,glow,1,3,"Wraps itself in speed glow."
Bramble Scratch,20,Dark,1,thorns,0.35,3,"Scratches with thorny pads."
Night Bloom,26,Dark,0.9,poison,0.25,3,"A shadowy rose burst."
Harrow Focus,12,Dark,1,focus,1,3,"Narrows its glare for focus."
Frost Nuzzle,18,Ice,1,NONE,0,0,"A chilly nuzzle."
Crystal Flurry,25,Ice,0.9,freeze,0.25,2,"A flurry that may freeze."
Sugar Coat,10,Ice,1,ward,1,3,"Ices over into a ward."
Ember Kiss,20,Fire,1,burn,0.3,3,"A warm spark kiss."
Roseflare,27,Fire,0.9,burn,0.2,3,"Blooms into a flare."
Kindle Focus,12,Fire,1,focus,1,3,"Fans embers into focus."
Mind Petal,19,Psychic,1,NONE,0,0,"A thought-petal strike."
Prism Gaze,28,Psychic,0.9,sleep,0.3,2,"A gaze that may sleep."
Clarity,10,Psychic,1,focus,1,3,"Sharpens the mind."
Pearl Slap,18,Water,1,NONE,0,0,"Slaps with a pearl."
Tide Twirl,25,Water,0.95,wet,0.45,3,"Twirl that soaks the foe."
Surf Glow,12,Water,1,glow,1,3,"Rides a glowing current."
Shell Pinch,20,Rock,1,NONE,0,0,"A coral pincer pinch."
Reef Crush,27,Rock,0.9,thorns,0.3,3,"Crushes with reef weight."
Coral Ward,8,Rock,1,ward,1,4,"Hardens into reef armor."
Kelp Hug,16,Grass,1,thorns,0.3,3,"A wrapping kelp hug."
Shore Lullaby,14,Grass,0.95,sleep,0.4,2,"A song that may sleep."
Sea Ward,10,Grass,1,ward,1,3,"Hums up a petal ward."
Drift Pulse,19,Psychic,1,NONE,0,0,"A pulsing mindwave."
Anemone Veil,22,Psychic,0.95,poison,0.35,3,"A veil that may poison."
Tide Focus,12,Psychic,1,focus,1,3,"Stillwater focus."
Ink Ribbon,20,Dark,1,pollen,0.3,3,"Lashes with inky ribbon."
Night Current,28,Dark,0.9,sleep,0.2,2,"A dark undertow strike."
Pearl Focus,12,Dark,1,focus,1,3,"Gleams into sharp focus."
